Nom de fichier	Chemin	voyageId	Pays	Ville	Lieu	Date Événement	datePage	Légende
0048_3.11.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0048_3.11.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Marion déguisée en 'bédouine'
0049_3.10.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0049_3.10.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled
0050_3.9.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0050_3.9.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	-
0051_3.8.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0051_3.8.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled
0052_4A.12.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0052_4A.12.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	-
0053_4A.13.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0053_4A.13.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	-
0054_4A.14.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0054_4A.14.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	-
0056_3.7.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0056_3.7.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled
0057_3.6.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0057_3.6.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled
0058_3.5.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0058_3.5.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled
